ticker,date,year,quarter,dailyreturn,volume,liquidity
CMG,1/2/2014,2014,1,0.0235,3140,89614.28571
CMG,1/3/2014,2014,1,0,20,78051.42857
CMG,1/6/2014,2014,1,-0.023,25010,497.1428571
CMG,1/7/2014,2014,1,-0.0176,17100,607385.7143
CMG,1/8/2014,2014,1,0.018,7510,713925
CMG,1/9/2014,2014,1,0,48340,425566.6667
CMG,1/10/2014,2014,1,-0.0176,7670,747072.7273
CMG,1/13/2014,2014,1,0,4570,0
CMG,1/14/2014,2014,1,-0.024,7540,190797.5
CMG,1/15/2014,2014,1,0.0675,40530,307255
CMG,1/16/2014,2014,1,0,30760,1007460
CMG,1/17/2014,2014,1,0,7910,1338060
CMG,1/20/2014,2014,1,0,70,344085
CMG,1/21/2014,2014,1,0,3260,3045
CMG,1/22/2014,2014,1,-0.023,4880,81034.28571
CMG,1/23/2014,2014,1,0,310,276533.3333
CMG,1/24/2014,2014,1,0.0235,4290,17566.66667
CMG,1/27/2014,2014,1,0,0,186615
CMG,2/6/2014,2014,1,0,2030,0
CMG,2/7/2014,2014,1,0,19210,0
CMG,2/10/2014,2014,1,0.023,18490,835635
CMG,2/11/2014,2014,1,-0.0225,19360,822805
CMG,2/12/2014,2014,1,0.023,21730,842160
CMG,2/13/2014,2014,1,-0.0225,34610,483492.5
CMG,2/14/2014,2014,1,0,32520,1505535
CMG,2/17/2014,2014,1,0.0632,53040,1414620
CMG,2/18/2014,2014,1,0.0649,167290,0
CMG,2/19/2014,2014,1,0.0558,22660,0
CMG,2/20/2014,2014,1,0.0577,48540,0
CMG,2/21/2014,2014,1,0.0682,228090,0
CMG,2/24/2014,2014,1,0.0638,27490,13400287.5
CMG,2/25/2014,2014,1,0.06,304830,0
CMG,2/26/2014,2014,1,0.0151,243630,10097493.75
CMG,2/27/2014,2014,1,-0.0446,88040,5957860.909
CMG,2/28/2014,2014,1,0,100110,1885523.333
CMG,3/3/2014,2014,1,-0.0584,137880,3675467.143
CMG,3/4/2014,2014,1,0.062,107980,2224464
CMG,3/5/2014,2014,1,0.0156,36840,925028.6667
CMG,3/6/2014,2014,1,0,19330,874112.7273
CMG,3/7/2014,2014,1,-0.0268,36260,458648.1818
CMG,3/10/2014,2014,1,0.0118,170000,1315720
CMG,3/11/2014,2014,1,0.0156,56710,3971818.182
CMG,3/12/2014,2014,1,-0.0421,64070,1345573.636
CMG,3/13/2014,2014,1,0.016,30700,1456136.364
CMG,3/14/2014,2014,1,0.0118,82810,1949450
CMG,3/17/2014,2014,1,0,86060,1934742.727
CMG,3/18/2014,2014,1,-0.0117,60450,3159631.429
CMG,3/19/2014,2014,1,0.0433,269300,2193471.429
CMG,3/20/2014,2014,1,0.0151,90490,4757633.333
CMG,3/21/2014,2014,1,-0.0149,131280,3042726.25
CMG,3/24/2014,2014,1,0.0566,275450,4348650
CMG,3/25/2014,2014,1,0.0679,692460,7011454.545
CMG,3/26/2014,2014,1,0.0268,498890,10897133.68
CMG,3/27/2014,2014,1,0,141040,13923566.36
CMG,3/28/2014,2014,1,-0.013,102610,2278909.474
CMG,3/31/2014,2014,1,-0.0264,95020,2590902.5
CMG,4/1/2014,2014,2,-0.0644,117040,1868726.667
CMG,4/2/2014,2014,2,0.0145,78300,1700160
CMG,4/3/2014,2014,2,0.0143,40860,730800
CMG,4/4/2014,2014,2,-0.0141,6310,1450530
CMG,4/7/2014,2014,2,0,60400,220850
CMG,4/8/2014,2014,2,0,49210,890105.2632
CMG,4/10/2014,2014,2,-0.025,29480,1252618.182
CMG,4/11/2014,2014,2,0.011,27970,1149720
CMG,4/14/2014,2014,2,-0.0254,23910,701792.7273
CMG,4/15/2014,2014,2,-0.0446,85330,584708.1818
CMG,4/16/2014,2014,2,-0.0584,79570,3132830
CMG,4/17/2014,2014,2,0.0496,11220,1283729.333
CMG,4/18/2014,2014,2,-0.063,13850,189992
CMG,4/21/2014,2014,2,-0.0126,44480,143317.3913
CMG,4/22/2014,2014,2,0.0638,43550,387140.7407
CMG,4/23/2014,2014,2,0.06,29480,473369.5652
CMG,4/24/2014,2014,2,0.0566,160600,0
CMG,4/25/2014,2014,2,-0.0143,60190,6424000
CMG,4/28/2014,2014,2,0.0145,1040,2373205.714
CMG,4/29/2014,2014,2,-0.0143,7270,13236.36364
CMG,5/5/2014,2014,2,-0.0543,23100,133768
CMG,5/6/2014,2014,2,0.0153,5540,753637.5
CMG,5/7/2014,2014,2,0.0151,4070,77268.42105
CMG,5/8/2014,2014,2,-0.0558,6350,72988.66667
CMG,5/9/2014,2014,2,0,54940,0
CMG,5/12/2014,2014,2,-0.063,46580,516842.963
CMG,5/13/2014,2014,2,-0.0462,62680,2771510
CMG,5/14/2014,2014,2,0.0661,95180,1293487.273
CMG,5/15/2014,2014,2,-0.062,47360,885906.1538
CMG,5/16/2014,2014,2,-0.0485,81970,398174.8148
CMG,5/19/2014,2014,2,0.0324,37820,1609592.727
CMG,5/20/2014,2014,2,-0.0314,39790,443887.3684
CMG,5/21/2014,2014,2,0.0324,91630,781330.9091
CMG,5/22/2014,2014,2,0,23050,1857590
CMG,5/23/2014,2014,2,-0.0135,12230,642518.75
CMG,5/26/2014,2014,2,0.0136,17480,244600
CMG,5/27/2014,2014,2,0,50290,354367.2727
CMG,5/28/2014,2014,2,0,11990,1019515.455
CMG,5/29/2014,2014,2,-0.0135,59050,381967.1429
CMG,5/30/2014,2014,2,0.0136,17430,866066.6667
CMG,6/2/2014,2014,2,-0.0135,21520,1295630
CMG,6/3/2014,2014,2,0.0136,39940,1183600
CMG,6/4/2014,2014,2,0,30500,1272374.286
CMG,6/5/2014,2014,2,0.0179,1000,618318.1818
CMG,6/6/2014,2014,2,-0.0485,8040,0
CMG,6/9/2014,2014,2,0.0324,8810,248091.4286
CMG,6/10/2014,2014,2,0,1610,654876.6667
CMG,6/11/2014,2014,2,0,6430,119676.6667
CMG,6/12/2014,2014,2,0.0179,21850,204841.4286
CMG,6/13/2014,2014,2,0,9080,708564.2857
CMG,6/16/2014,2014,2,-0.0176,2090,0
CMG,6/17/2014,2014,2,-0.0135,38310,155356.6667
CMG,6/18/2014,2014,2,0.0136,33770,2809400
CMG,6/19/2014,2014,2,0.0179,9410,2510236.667
CMG,6/20/2014,2014,2,-0.0176,10520,194188.1818
CMG,6/23/2014,2014,2,0,31810,781986.6667
CMG,6/24/2014,2014,2,0.0179,920,2364543.333
CMG,6/25/2014,2014,2,-0.0176,3790,52210
CMG,6/26/2014,2014,2,0.0359,16180,105646.25
CMG,6/27/2014,2014,2,0.0173,21380,467197.5
CMG,6/30/2014,2014,2,0.0128,8730,1256075
CMG,7/1/2014,2014,3,0,8430,296820
CMG,7/2/2014,2014,3,0,31000,668780
CMG,7/3/2014,2014,3,0.0672,159910,1054000
CMG,7/4/2014,2014,3,0.0591,122280,1765962.609
CMG,7/7/2014,2014,3,0.0558,198390,0
CMG,7/8/2014,2014,3,-0.0282,74050,5122069.091
CMG,7/9/2014,2014,3,-0.0109,38830,1362520
CMG,7/10/2014,2014,3,-0.0293,69270,963690
CMG,7/11/2014,2014,3,0,4530,2294568.75
CMG,7/14/2014,2014,3,0,6280,100037.5
CMG,7/15/2014,2014,3,0.0566,300490,208025
CMG,7/16/2014,2014,3,0,63550,5609146.667
CMG,7/17/2014,2014,3,-0.0143,5520,2224250
CMG,7/18/2014,2014,3,0,49420,217645.7143
CMG,7/21/2014,2014,3,0.0145,118290,717890.5263
CMG,7/22/2014,2014,3,0,10400,3011018.182
CMG,7/23/2014,2014,3,-0.0143,4110,264727.2727
CMG,7/24/2014,2014,3,-0.0109,3000,378120
CMG,7/25/2014,2014,3,0,40460,204750
